filename,username,display_name,notes,story_date,story_time,frame_type,content_type
051_edge_castillo.png,edge_castillo,,"giveaway entry, SM Aura pop-up",2026-07-26,4:37 PM,framed,drink
052_nutellatangco.png,nutellatangco,,"signature matcha latte, oat",2026-07-26,4:38 PM,framed,drink
053_lnnlynrngvll_.png,lnnlynrngvll_,,"matcha + hojicha + stickers, SM Southmall",2026-07-26,4:38 PM,framed,drink
054_leys_ronga.png,leys.ronga,,sea salt matcha + hojicha,2026-07-26,4:38 PM,framed,drink
055_heyitsshanti_.png,heyitsshanti_,,two matcha lattes,2026-07-26,5:26 PM,framed,drink
056_daijin_and_jiji.png,daijin_and_jiji,,afternoon matcha date + stickers + cat,2026-07-26,6:30 PM,framed,drink
057_the_godfooder.png,the.godfooder,,,2026-07-26,6:50 PM,framed,drink
058_doughrybakery.png,doughrybakery,,earl grey matcha latte,2026-07-26,6:50 PM,framed,drink
059__velascocha.png,_velascocha,,drink + stickers,2026-07-26,6:50 PM,framed,drink
060_mooniena.png,mooniena,,MSL + stickers,2026-07-26,6:51 PM,framed,drink
061_eluh_ment.png,eluh.ment,,hojicha sea salt latte,2026-07-26,6:51 PM,framed,drink
062_brajankarlo.png,brajankarlo,,hojicha latte,2026-07-26,6:51 PM,framed,drink
063_jatstansngl.png,jatstansngl,,three signature matcha lattes,2026-07-26,6:51 PM,fullscreen,drink
064_uskjn.png,uskjn,,"go-to for work, four-photo collage",2026-07-26,7:50 PM,fullscreen,drink
065_ugc_naomeow.png,ugc.naomeow,,matchamporado (M.Cham) reel,2026-07-26,10:15 PM,framed,drink
066_ugc_naomeow.png,ugc.naomeow,,matcha-making at workshop station,2026-07-27,12:14 AM,framed,workshop
067_aj_anne___.png,aj.anne___,,seasalt latte 6g + free stickers,2026-07-27,11:48 AM,framed,drink
068_katrinadelacruzz.png,katrinadelacruzz,,two drinks + sticker sheets,2026-07-27,11:49 AM,framed,drink
069_cxrbonite.png,cxrbonite,,,2026-07-27,11:49 AM,framed,drink
070__beamxn.png,_beamxn,,,2026-07-27,11:50 AM,framed,drink
071_czrnajulia.png,czrnajulia,,four-photo collage,2026-07-27,11:50 AM,framed,drink
072_juliaaspe.png,juliaaspe,,hojicha,2026-07-27,11:50 AM,framed,drink
073_bea_aal.png,bea.aal,,drink + stickers,2026-07-27,11:50 AM,framed,drink
074_zaydaxrose.png,zaydaxrose,,,2026-07-27,11:51 AM,framed,drink
075_aranamichelle_.png,aranamichelle_,,MSL + MES,2026-07-27,11:51 AM,framed,drink
076_lesleymishaa.png,lesleymishaa,,,2026-07-27,11:51 AM,framed,drink
077_la_aler.png,la.aler,,,2026-07-27,12:02 PM,framed,drink
078__angelicaalbano.png,_angelicaalbano,,hojicha sea salt latte + stickers,2026-07-27,12:36 PM,framed,drink
079_kimberlytbg.png,kimberlytbg,,"Matcha Workshop, Lanson Place Hall of Asia",2026-07-27,3:49 PM,framed,workshop
080_kimberlytbg.png,kimberlytbg,,come-with-me vlog intro clip,2026-07-27,3:49 PM,framed,other
081_itsbeabe.png,itsbeabe,,"earl grey matcha latte, oat",2026-07-27,3:50 PM,framed,drink
082_lykieverzosa.png,lykieverzosa,,matcha seasalt latte,2026-07-27,3:50 PM,framed,drink
083_vinamrtnz.png,vinamrtnz,,matcha seasalt latte,2026-07-27,3:50 PM,framed,drink
084_alya_nna.png,alya.nna,,MSL lvl 2,2026-07-27,3:51 PM,framed,drink
085_3clarisma.png,3clarisma,,drink + stickers + cat,2026-07-27,5:15 PM,framed,drink
086_rygelart_trad.png,rygelart.trad,,anniversary greeting + stickers,2026-07-27,5:16 PM,framed,drink
087_rialecxa.png,rialecxa,,hojicha pour + stickers,2026-07-27,5:44 PM,framed,drink
088__daily_with_b.png,_daily.with.b,,signature matcha latte,2026-07-27,5:44 PM,framed,drink
089_eamiyummy.png,eamiyummy,,"salted cream matcha latte, MOA Arena",2026-07-27,5:44 PM,framed,drink
