Corporation: MATCHANESE INC                 Period Covered: Last 30 Days
Account Number: 000251640035          Account Name: MATCHANESE INC
Account Alias:                      Currency: PHP
Posting Date,Branch,Description,Debit,Credit,Running Balance,Check Number
02/16/2026,RECON,PESONet_from_00000000722019634 UBPHPHMM_02162623AAAEZGQ MERCHANT SETTLEMENT,,17885.50,168370.45,000000000
02/18/2026,SM CITY NORTH EDSA A,00025 CD,,37688.00,206058.45,000000000
02/18/2026,RETAIL INTERNET BANKING,FT SA-SA DIGIFI POB DBFT 026048191677,,9900.00,215958.45,000000000
02/18/2026,RECON,PESONet_from_02208470884167691 GHPESGSG_XEKqbvmmd,,1752.44,217710.89,000000000
02/18/2026,RECON,PESONet_from_00000000722019634 UBPHPHMM_02182623AAAFEVA MERCHANT SETTLEMENT,,9561.07,227271.96,000000000
02/19/2026,RECON,PESONet_from_02208470884167691 GHPESGSG_Lf-94zXX8,,1790.07,229062.03,000000000
02/19/2026,RECON,PESONet_from_00000000722019634 UBPHPHMM_02192607AAAFJPI MERCHANT SETTLEMENT,,4094.18,233156.21,000000000
02/20/2026,RECON,PESONet_from_01863668577424386 GHPESGSG_0FmqcAzzW,,796.61,233952.82,000000000
02/20/2026,RECON,PESONet_from_00000000722019634 UBPHPHMM_02202608AAAFCJR MERCHANT SETTLEMENT,,5075.51,239028.33,000000000
02/20/2026,RECON,PESONet_from_02208470884167691 GHPESGSG_THmkjV7Oo,,2927.00,241955.33,000000000
02/20/2026,TBG-BUSINESS ONLINE BANKING,ONLINE TRANSFER BOB TO 661682455 Reference # 1335034039,15000.00,,226955.33,000000000
02/23/2026,RECON,PESONet_from_01863668577424386 GHPESGSG_Ca2SoydO8,,1072.50,228027.83,000000000
02/23/2026,RECON,PESONet_from_02208470884167691 GHPESGSG_lvNpsyDTs,,1039.38,229067.21,000000000
02/23/2026,TBG-BUSINESS ONLINE BANKING,ONLINE TRANSFER BOB TO 661682455 Reference # 3835048324,50000.00,,179067.21,000000000
02/23/2026,SM CITY NORTH EDSA A,00025 CD,,35683.00,214750.21,000000000
02/23/2026,RECON,PESONet_from_00000000722019634 UBPHPHMM_02232607AAAFTRL MERCHANT SETTLEMENT,,23084.55,237834.76,000000000
02/24/2026,TBG-BUSINESS ONLINE BANKING,ONLINE TRANSFER BOB TO 1568022528 Reference # 0635068906,4334.00,,233500.76,000000000
02/24/2026,RECON,PESONet_from_00000000722019634 UBPHPHMM_02242622AAAFQJL MERCHANT SETTLEMENT,,2156.76,235657.52,000000000
02/24/2026,RECON,PESONet_from_02208470884167691 GHPESGSG_dhl1sDJT8,,18.60,235676.12,000000000
02/25/2026,RECON,PESONet_from_01863668577424386 GHPESGSG_xMd9d6J7o,,105.27,235781.39,000000000
02/25/2026,RECON,PESONet_from_00000000722019634 UBPHPHMM_02252625AAAFSVJ MERCHANT SETTLEMENT,,4713.42,240494.81,000000000
02/25/2026,RECON,PESONet_from_02208470884167691 GHPESGSG_aI8KRDeAa,,1335.69,241830.50,000000000
02/26/2026,RECON,PESONet_from_01863668577424386 GHPESGSG_3nwDdzkca,,1765.18,243595.68,000000000
02/26/2026,TBG-BUSINESS ONLINE BANKING,ONLINE TRANSFER BOB TO 670778745 Reference # 0135102934,2912.00,,240683.68,000000000
02/26/2026,RECON,PESONet_from_00000000722019634 UBPHPHMM_02262606AAAFYJA MERCHANT SETTLEMENT,,3754.27,244437.95,000000000
02/26/2026,RECON,PESONet_from_02208470884167691 GHPESGSG_PlBPHyOc0,,2394.51,246832.46,000000000
02/27/2026,TBG-BUSINESS ONLINE BANKING,ONLINE TRANSFER BOB TO 661682455 Reference # 2435115704,20000.00,,226832.46,000000000
02/27/2026,RECON,PESONet_from_01863668577424386 GHPESGSG_53yVUHCu9,,352.50,227184.96,000000000
02/27/2026,RECON,PESONet_from_00000000722019634 UBPHPHMM_02272607AAAGHWP MERCHANT SETTLEMENT,,5678.10,232863.06,000000000
02/27/2026,RECON,PESONet_from_02208470884167691 GHPESGSG_Y9DqsfIu9,,3557.82,236420.88,000000000
02/27/2026,AUTOMATED SYTEM POSTING,INTEREST PAYMENT SYS GEN,,11.15,236432.03,000000000
02/27/2026,AUTOMATED SYTEM POSTING,INTEREST WITHHELD,2.23,,236429.80,000000000
03/02/2026,TBG-BUSINESS ONLINE BANKING,ONLINE TRANSFER BOB TO 661682455 Reference # 4935136118,50000.00,,186429.80,000000000
03/02/2026,RECON,PESONet_from_01863668577424386 GHPESGSG_e39PJWe8t,,1396.06,187825.86,000000000
03/02/2026,RECON,PESONet_from_02208470884167691 GHPESGSG_qW1zcpCmj,,5195.75,193021.61,000000000
03/02/2026,RECON,PESONet_from_02208470884167691 GHPESGSG_pBsPgpgUf,,2333.27,195354.88,000000000
03/02/2026,RECON,PESONet_from_01863668577424386 GHPESGSG_d15x9:e8a,,3639.07,198993.95,000000000
03/02/2026,SM CITY NORTH EDSA A,00025 CD,,25284.00,224277.95,000000000
03/02/2026,TBG-BUSINESS ONLINE BANKING,ONLINE TRANSFER BOB TO 661682455 Reference # 3035157995,40000.00,,184277.95,000000000
03/02/2026,RECON,PESONet_from_02208470884167691 GHPESGSG_pHxR5Ygyf,,7029.65,191307.60,000000000
03/03/2026,RECON,PESONet_from_01863668577424386 GHPESGSG_6sScoKPtd,,1609.79,192917.39,000000000
03/03/2026,RECON,PESONet_from_00000000722019634 UBPHPHMM_03032623AAAGKKZ MERCHANT SETTLEMENT,,18929.86,211847.25,000000000
03/03/2026,RECON,PESONet_from_00000000722019634 UBPHPHMM_03032623AAAGNGE MERCHANT SETTLEMENT,,9431.96,221279.21,000000000
03/03/2026,RECON,PESONet_from_02208470884167691 GHPESGSG_K1nItQe8a,,1398.37,222677.58,000000000
03/04/2026,RECON,PESONet_from_01863668577424386 GHPESGSG_2r5agmUCf,,2853.22,225530.80,000000000
03/04/2026,RECON,PESONet_from_00000000722019634 UBPHPHMM_03042621AAAGNME MERCHANT SETTLEMENT,,4397.58,229928.38,000000000
03/04/2026,RECON,PESONet_from_02208470884167691 GHPESGSG_AUiYcM7Gw,,2810.57,232738.95,000000000
03/05/2026,RECON,PESONet_from_01863668577424386 GHPESGSG_LfJHa4UbB,,187.50,232926.45,000000000
03/05/2026,TBG-BUSINESS ONLINE BANKING,ONLINE TRANSFER BOB TO 661682455 Reference # 3735207916,15000.00,,217926.45,000000000
03/05/2026,RECON,PESONet_from_00000000722019634 UBPHPHMM_03052606AAAGVAR MERCHANT SETTLEMENT,,4160.21,222086.66,000000000
03/05/2026,RECON,PESONet_from_02208470884167691 GHPESGSG_:ZwGTo7xi,,234.49,222321.15,000000000
03/05/2026,RETAIL INTERNET BANKING,FT SA-SA DIGIFI POB DBFT 026064490589,,3950.00,226271.15,000000000
03/06/2026,RECON,PESONet_from_00000000722019634 UBPHPHMM_030626B2AAAHEHH MERCHANT SETTLEMENT,,5409.61,231680.76,000000000
03/06/2026,RECON,PESONet_from_02208470884167691 GHPESGSG_pY6DXOKb0,,5504.32,237185.08,000000000

Report Date: 03/09/2026 08:42:25
