"Date","Time","Name","Amount","Tag"
"Sep 04, 2025","8:13 pm","National Bookstore Scotch Tape, pen marker, battery","494","Cash"
"Sep 04, 2025","8:12 pm","SnR whipped cream ","2765.70","Non-Cash"
"Sep 04, 2025","8:12 pm","Bakers choice white choco sauce, everwhip, bunge","1280","Non-Cash"
"Sep 04, 2025","8:11 pm","Bakers choice salted caramel, dairymilk ","5240","Non-Cash"
"Sep 04, 2025","2:51 pm","Delivery_Lalamove Fee whiteChoci,Bunge,Everwip","203","Cash"
"Sep 04, 2025","2:51 pm","Delivery_Lalamove Fee WarabiMochi","171","Cash"
"Sep 03, 2025","9:46 pm","PlainSight","3136","Non-Cash"
"Sep 03, 2025","9:45 pm","Delivery_GrabMart_sugar, whippingcream, dairy","2274","Non-Cash"
"Sep 03, 2025","9:14 pm","Lalamove Tip","130","Cash"
"Sep 03, 2025","9:13 pm","Fruitas_ CoconutWater1500ml","255","Cash"
"Sep 03, 2025","9:13 pm","R&BTubeIce_8bags","180","Cash"
"Sep 02, 2025","3:17 pm","Ivoryway ice ","90","Cash"
"Sep 01, 2025","6:29 pm","Arla whipping cream (4) (sm supermarket)","1964","Cash"
"Sep 01, 2025","2:31 pm","Ivoryway ice","337.5","Cash"
"Aug 31, 2025","8:51 pm","Robinsons supermarket dairy, whipped cream, dalandan concentrate, condensed milk","2495","Non-Cash"
"Aug 31, 2025","2:42 pm","Ivorywayice","225","Cash"
"Aug 31, 2025","2:18 pm","Fruitas Coconut water ","170","Cash"
"Aug 30, 2025","7:22 pm","Grocery_Supermarket_Whippingcream, bunge, sugar, condense, Lysol, Zonrox","2752","Cash"
"Aug 30, 2025","7:21 pm","Delivery Tip Grab","100","Cash"
"Aug 30, 2025","7:21 pm","R&BTubeIce_","295","Cash"
"Aug 29, 2025","9:49 pm","Aab","340","Non-Cash"
"Aug 29, 2025","9:49 pm","AAB_WhippingCream","2673","Non-Cash"
"Aug 29, 2025","9:13 pm","R&BTubeIce_","225","Cash"
"Aug 29, 2025","9:12 pm","Delivery_Lalamove_Matcha3Kg","240","Cash"
"Aug 29, 2025","9:11 pm","Delivery_Lalamove_Cookies","140","Cash"
"Aug 29, 2025","9:10 pm","Banana1kg","170","Cash"
"Aug 28, 2025","9:13 pm","Delivery_GrabMart_WhippingCream4L","1843","Non-Cash"
"Aug 28, 2025","9:12 pm","Fruitas_ CoconutWater500mlx2","170","Cash"
"Aug 27, 2025","6:02 pm","Ivoryway ice ","270","Cash"
"Aug 27, 2025","6:01 pm","Ac packaging store paperbag L, 4's cupholder ","956","Non-Cash"
"Aug 27, 2025","6:01 pm","Alllegro Oatmilk 30L","6600","Non-Cash"
"Aug 27, 2025","6:00 pm","MDR consumer goods trading Dairymilk 60L everhiwp","4710","Non-Cash"
"Aug 26, 2025","9:52 pm","Haig and  lee import export corp wooden spoon straw 6mm","3274","Non-Cash"
"Aug 26, 2025","8:35 pm","Ivoryway ice","112.5","Cash"
"Aug 26, 2025","12:22 pm","Warabi mochi (lalamove)","171.00","Cash"
"Aug 25, 2025","9:06 pm","Irish luck inc, 12oz lids, cups, dome lids and 16oz lids, cups, dome lids","6361.60","Non-Cash"
"Aug 25, 2025","8:34 pm","Aab baking goods and supplie anchor whipped cream ","723","Non-Cash"
"Aug 25, 2025","8:34 pm","S&R White sugar, whipped cream, oatmilk","2970.45","Non-Cash"
"Aug 25, 2025","8:33 pm","Kukido Cookie Corp. Cookies","6545","Non-Cash"
"Aug 25, 2025","7:35 pm","Lalamove fee warabimochi","247","Cash"
"Aug 25, 2025","5:32 pm","Grab MOA supplies","414","Cash"
"Aug 25, 2025","5:31 pm","Lalamove fee cups and lids","213","Cash"
"Aug 25, 2025","5:30 pm","Lalamove fee drink ","130","Cash"
"Aug 25, 2025","5:29 pm","Lalamove fee cookies","160","Cash"
"Aug 25, 2025","2:00 pm","Ivoryway ice","225","Cash"
"Aug 24, 2025","5:13 pm","FMPT Supplies Trading Straws 6mm 500pcs","575","Non-Cash"
"Aug 24, 2025","5:05 pm","Waltermat Supermarket Oatside milk ","1215","Non-Cash"
"Aug 24, 2025","3:20 pm","Fruitas_ CoconutWater1L","160","Cash"
"Aug 24, 2025","3:19 pm","R&BTubeIce_10","225","Cash"
"Aug 23, 2025","8:42 pm","Ivoryway ice","225","Cash"
"Aug 23, 2025","8:42 pm","MDRconsumer goods trading dairymilk, white sugar","4000","Non-Cash"
"Aug 23, 2025","6:09 pm","Banana food alley","160","Cash"
"Aug 22, 2025","6:03 pm","S&R oatmilk, mascarpone, whipped cream","6411.30","Non-Cash"
"Aug 22, 2025","3:53 pm","TDC oatmilk 2L","420","Cash"
"Aug 22, 2025","3:15 pm","Ice","202.5","Cash"
"Aug 22, 2025","2:38 pm","Builtamart_EggLargeTray","380","Non-Cash"
"Aug 21, 2025","8:24 pm","Erdy_battery","374","Cash"
"Aug 21, 2025","7:26 pm","Lalamove Fee _Cookies ","160","Cash"
"Aug 21, 2025","7:26 pm","Lalamove Fee _redelivered for grab","139","Cash"
"Aug 21, 2025","7:25 pm","Ice","295","Cash"
"Aug 21, 2025","7:25 pm","Lalamove Fee ","150","Cash"
"Aug 20, 2025","6:35 pm","Dishwashing liquid","215","Cash"
"Aug 20, 2025","6:16 pm","S&R whipped cream, unsalted butter, eggs ","3081.75","Non-Cash"
"Aug 20, 2025","6:15 pm","Aj fruit house Banana","135","Cash"
"Aug 20, 2025","6:15 pm","Lalamove fee Warabi mochi","171","Cash"
"Aug 20, 2025","6:14 pm","Ivoryway ice","170","Cash"
"Aug 20, 2025","6:14 pm","Fruitas coconut water","170","Cash"
"Aug 19, 2025","4:24 pm","Refund Customer (No stock of Oatmilk)","50","Cash"
"Aug 19, 2025","4:22 pm","Boduo Raw Milktea Hub CustomerTissue 60 packs","2486.40","Non-Cash"
"Aug 19, 2025","4:21 pm","Greenstar one enterprises Strawberry Syrup 2L","1980","Non-Cash"
"Aug 19, 2025","4:20 pm","Ivoryway ice","112.5","Cash"
"Aug 19, 2025","4:19 pm","MDR Consumer goods Dairy Milk, White choco syrup","4570","Non-Cash"
"Aug 18, 2025","10:03 pm","Delivery_Lalamove_Cookies","140","Cash"
"Aug 18, 2025","9:58 pm","NBS_Scotchtapes","150","Cash"
"Aug 18, 2025","2:03 pm","Tube Ice","135","Cash"
"Aug 17, 2025","7:39 pm","Delivery_Lalamove_Warabimochi ","171","Cash"
"Aug 17, 2025","7:20 pm","SM Sesalt, Clingwrap, Warabi Sauce Container","610","Cash"
"Aug 17, 2025","7:20 pm","NBS Marker Pen","126","Cash"
"Aug 17, 2025","7:19 pm","Ivoryway Ice ","202.5","Cash"
"Aug 17, 2025","7:19 pm","Fruitas Coconut Water 1L","170","Cash"
"Aug 17, 2025","7:19 pm","S&R White Sugar, Ehipped Cream ","3132.15","Non-Cash"
"Aug 16, 2025","3:42 pm","MDRBaking&RestaurantSupplies_Everwhip_Bunge_DairyMilk","5010","Non-Cash"
"Aug 16, 2025","3:02 pm","Delivery_Lalamove_IceCream","180","Cash"
"Aug 16, 2025","2:42 pm","FoodAlley_Banana_1kg","128","Cash"
"Aug 16, 2025","2:40 pm","Fruitas_ CoconutWater500ml_2","170","Cash"
"Aug 16, 2025","2:38 pm","R&BTubeIce_10","225","Cash"
"Aug 15, 2025","9:02 pm","Milk_devondalex5","811","Cash"
"Aug 15, 2025","8:20 pm","Lalamove_icecreampan","150","Cash"
"Aug 15, 2025","8:19 pm","Ice","295","Cash"
"Aug 15, 2025","8:09 pm","Ice_sm","112","Cash"
"Aug 15, 2025","8:09 pm","Cookies _lalamove","140","Cash"
"Aug 15, 2025","8:08 pm","Lalamove_icetube","121","Cash"
"Aug 14, 2025","9:21 pm","Lalamove fee Warabi mochi ","171","Cash"
"Aug 14, 2025","5:28 pm","TDC Oatmilk 1L","210","Cash"
"Aug 14, 2025","4:25 pm","Tube ice (5pcs)","344","Cash"
"Aug 13, 2025","7:18 pm","BigMommymilfPizza","1229","Cash"
"Aug 13, 2025","5:32 pm","R&BTubeIce_10","225","Cash"
"Aug 13, 2025","5:31 pm","NBS_Maskingtape, Salesbook","131","Cash"
"Aug 13, 2025","3:52 pm","Lalamove rider tip","50","Cash"
"Aug 12, 2025","10:27 pm","Delivery_Lalamove_16oz cupslids 1,500","4536","Non-Cash"
"Aug 12, 2025","10:17 pm","Delivery_Grabmart_ Tip","150","Cash"
"Aug 12, 2025","10:17 pm","Delivery_Lalamove_Warabimochi ","171","Cash"
"Aug 12, 2025","9:04 pm","R&BTubeIce_6","135","Cash"
"Aug 12, 2025","9:03 pm","Delivery_S&R_Condense, Sugar, Whipping cream, Garbage bag","2995","Non-Cash"
"Aug 12, 2025","9:02 pm","Fruitas_ CoconutWater1000ml","170","Cash"
"Aug 12, 2025","11:44 am","Food Alley Egg Small 6pcs","90","Cash"
"Aug 11, 2025","10:18 pm","DalandanConcetrate, Oatmlikl","4015","Non-Cash"
"Aug 11, 2025","9:28 pm","Delivery_Lalamove_Warabimochi ","140","Cash"
"Aug 11, 2025","3:10 pm","Ice","225","Cash"
"Aug 11, 2025","3:06 pm","Refund of Customer (Card to Cash)","170","Cash"
"Aug 10, 2025","3:40 pm","Delivery_Lalamove_Warabimochi ","171","Cash"
"Aug 10, 2025","3:39 pm","Egg12","180","Cash"
"Aug 10, 2025","3:39 pm","Delivery_S&R_Condense, Sugar, WhippingCream","2819","Non-Cash"
"Aug 10, 2025","3:36 pm","R&BTubeIce_12","270","Cash"
"Aug 10, 2025","3:35 pm","Fruitas_ CoconutWater1000ml","170","Cash"
"Aug 09, 2025","6:50 pm","Ivoryway Ice","225","Cash"
"Aug 09, 2025","6:49 pm","National Bookstore Tape","272","Cash"
"Aug 08, 2025","9:40 pm","GlobalPacific_WhippingCream4L, Bunge1L, DLASb1Can","4075","Non-Cash"
"Aug 08, 2025","9:36 pm","NBS_Battery","187","Cash"
"Aug 08, 2025","6:32 pm","R&BTubeIce_11","247","Cash"
"Aug 08, 2025","6:28 pm","ACPackaging_6mmStraw500, 12mmStraw100, CupHoler100","1380","Non-Cash"
"Aug 07, 2025","9:33 pm","Fruitas_ CoconutWater1000ml","170","Cash"
"Aug 07, 2025","9:33 pm","Greenstar_MoninStrawberry4L","1980","Non-Cash"
"Aug 07, 2025","9:32 pm","Landers_Oatside24L","3076","Non-Cash"
"Aug 07, 2025","9:31 pm","Laciate60L","4800","Non-Cash"
"Aug 07, 2025","9:30 pm","Grocery_Supermarket_Salt","133","Cash"
"Aug 06, 2025","8:47 pm","Rider Tip","50","Cash"
"Aug 06, 2025","8:46 pm","BuiltaMart Dairy milk 6L","834","Non-Cash"
"Aug 06, 2025","1:08 pm","Oatside_tdc","210","Cash"
"Aug 05, 2025","9:02 pm","Delivery_Shopee_Warabi","191","Cash"
"Aug 05, 2025","9:00 pm","R&BTubeIce_10","225","Cash"
"Aug 04, 2025","5:57 pm","Ac Packaging Online Store Paperbag L, 4 Cups Holder","2196","Non-Cash"
"Aug 04, 2025","5:49 pm","Lalamove Fee","150","Cash"
"Aug 04, 2025","5:47 pm","MDR Consumer Goods Salted Caramel Syrup","970","Non-Cash"
"Aug 04, 2025","3:47 pm","Delivery_Lalamove_Cookies","140","Cash"
"Aug 04, 2025","3:47 pm","R&BTubeIce_Bags","225","Cash"
"Aug 03, 2025","10:04 pm","Ice","225","Cash"
"Aug 03, 2025","10:04 pm","Frutas_bucohalf","170","Cash"
"Aug 02, 2025","9:34 pm","GavinosGroup_LaciateFullCreamMilk_5Case","4800","Non-Cash"
"Aug 02, 2025","6:40 pm","Delivery_S&R_Delivery_S&R_WHIPCREAM6L_SUGAR6KG","3533.25","Non-Cash"
"Aug 02, 2025","2:42 pm","R&BTubeIce_7","157.5","Cash"
"Aug 01, 2025","10:13 pm","Grocery_Supermarket_Sugar2kg, Stickyrice1kg, Straw300pcs, Alcohol 1L, Paper4pack","1217","Cash"
"Aug 01, 2025","10:05 pm","Banana ","150","Cash"
"Aug 01, 2025","9:52 pm","NBS_Marker","83","Cash"
"Aug 01, 2025","9:52 pm","Grocery_Supermarket_Watson, Vinyl","203","Cash"
"Aug 01, 2025","9:51 pm","Delivery_GrabMart_WhippingCream5,Butter1","2344","Non-Cash"
"Aug 01, 2025","9:50 pm","R&BTubeIce_13bag","292","Cash"
"Aug 01, 2025","6:24 pm","Gloves","203","Cash"
"Aug 01, 2025","3:13 pm","Lalamove_DrinksErrorDelivery","78","Cash"
"Aug 01, 2025","10:37 am","Grab-ICE","339","Cash"
"Jul 31, 2025","9:19 pm","Delivery_Lalamove_Cookies","140","Cash"
"Jul 31, 2025","4:41 pm","Sweet potato ","180","Cash"
"Jul 31, 2025","4:41 pm","Grocery_Supermarket_Egg,Everwhip","360","Cash"
"Jul 30, 2025","8:08 pm","R&BTubeIce_10bag","225","Cash"
"Jul 30, 2025","7:47 pm","Delivery_Lalamove_IceCream","180","Cash"
"Jul 30, 2025","2:27 pm","Delivery_Lalamove_Warabimochi","155","Cash"
"Jul 29, 2025","9:12 pm","Fruitas_ CoconutWater1000ml","170","Cash"
"Jul 29, 2025","4:07 pm","7/11 Ice ","90","Cash"
"Jul 29, 2025","4:07 pm","Ivoryway Ice","202.5","Cash"
"Jul 28, 2025","9:51 pm","Delivery_GrabMart_WhippingCream4L","1843","Non-Cash"
"Jul 28, 2025","6:15 pm","Lalamove fee cookies","228","Cash"
"Jul 28, 2025","5:25 pm","Arlene's Dairyhouse Mascarpone","1870","Non-Cash"
"Jul 28, 2025","5:25 pm","Sm Trash Bags,  Dalandan Juice, Condensed milk","1143.50","Cash"
"Jul 28, 2025","5:14 pm","Lalamove fee Warabi Mochi ","150","Cash"
"Jul 28, 2025","5:13 pm","Ivoryway ice ","135","Cash"
"Jul 27, 2025","3:09 pm","MDR Consumer Goods Dairy 60L,White Sugar 5lg","4900","Non-Cash"
"Jul 27, 2025","2:37 pm","Ivoryway ice","247.5","Cash"
"Jul 26, 2025","2:45 pm","Ivoryway Ice","270","Cash"
"Jul 26, 2025","2:45 pm","Fruitas Coconut Water","170","Cash"
"Jul 25, 2025","9:47 pm","Pizza","1100","Cash"
"Jul 25, 2025","3:45 pm","Ivoryway Ice ","225","Cash"
"Jul 25, 2025","1:39 pm","1L oat_tdc","210","Cash"
"Jul 25, 2025","12:08 pm","Refund Cash Money (Customer Gcash Payment) ","100","Cash"
"Jul 24, 2025","4:32 pm","Lalamove fee_cookies","150","Cash"
"Jul 23, 2025","8:32 pm","Ivoryway ice","180","Cash"
"Jul 23, 2025","8:31 pm","Fruitas 1L Coconut Water","170","Cash"
"Jul 23, 2025","3:12 pm","Grocery_Supermarket_Whipping cream 2L, Eggs, Warabisaucecontainer","1286","Cash"
"Jul 23, 2025","1:46 pm","Abacus Book and Card Corp. market pens","111","Cash"
"Jul 21, 2025","3:27 pm","MDR Consumer Goods Dairy milk 60L, White Sugar 5kh","4900","Non-Cash"
"Jul 21, 2025","3:25 pm","Lalamove Fee ","100","Cash"
"Jul 21, 2025","2:51 pm","Watsons_Nailcutter,Salonpas,Advil","425.75","Cash"
"Jul 21, 2025","2:50 pm","R&BTubeIce_","225","Cash"
"Jul 20, 2025","3:22 pm","Ivoryway Ice ","112.5","Cash"
"Jul 20, 2025","3:22 pm","Lalamove Fee Warsbi","190","Cash"
"Jul 20, 2025","10:58 am","Fruitas Coconutwater 1.5L","255","Cash"
"Jul 20, 2025","10:20 am","7/11 Ice packs 3","90","Cash"
"Jul 19, 2025","6:21 pm","Abacus Book and Card Corp. Tape","350","Cash"
"Jul 19, 2025","6:18 pm","S&R Whipping Cream","1382.85","Non-Cash"
"Jul 19, 2025","6:17 pm","Arlenese Dairyhouse Whipped Cream","2275","Non-Cash"
"Jul 19, 2025","6:17 pm","Irish Luck INC 16oz Cups, 98mm Strawless lids","4536","Non-Cash"
"Jul 19, 2025","5:12 pm","7/11 Ice 3 packs","90","Cash"
"Jul 19, 2025","5:09 pm","Ivoryway Ice","135","Cash"
"Jul 18, 2025","4:49 pm","Haig and LeeImport Export INC. Wooder Stir, Straw","1240","Non-Cash"
"Jul 18, 2025","4:47 pm","Arlene's Dairy House mascarpone","1870","Non-Cash"
"Jul 18, 2025","4:42 pm","Ivoryway ice","112.5","Cash"
"Jul 18, 2025","4:41 pm","Lslamove Cookies ","126","Cash"
"Jul 18, 2025","2:16 pm","Ac Packaging Online Store","3671","Non-Cash"
"Jul 17, 2025","7:49 pm","Sm Everwhip, Dalandan, Dishwashing liquid, Sponge","795.50","Non-Cash"
"Jul 17, 2025","7:19 pm","Sweet Potato","63","Cash"
"Jul 17, 2025","7:17 pm","Global Pacific Strawberry Can 12, Whipping Cream ","3325.62","Non-Cash"
"Jul 17, 2025","7:15 pm","Lalamove Fee - Sweet potato","100","Cash"
"Jul 16, 2025","9:03 pm","Grab Rider Tip ","50","Cash"
"Jul 16, 2025","4:11 pm","S&R Whipped Cream 6L","2765.70","Non-Cash"
"Jul 16, 2025","4:10 pm","Ivoryway Ice","247.5","Cash"
"Jul 16, 2025","4:10 pm","Lalamove Fee Matcha","170","Cash"
"Jul 16, 2025","2:02 pm","Grab Rider Tip","30","Cash"
"Jul 15, 2025","9:50 pm","MDR_Laciate5box_WhiteSugar5kg","4900","Non-Cash"
"Jul 15, 2025","4:37 pm","Delivery_Lalamove_","103","Cash"
"Jul 15, 2025","4:37 pm","R&BTubeIce_","180","Cash"
"Jul 15, 2025","10:38 am","Customer tissue","414.40","Non-Cash"
"Jul 14, 2025","3:35 pm","Arlene's dairyhouse Whipped cream, Dairy milk, Mascarpone","3038","Non-Cash"
"Jul 14, 2025","3:34 pm","Fruitas Coconut water","85","Cash"
"Jul 14, 2025","3:08 pm","Ice tube","180","Cash"
"Jul 14, 2025","3:00 pm","Sm Supermarket Eggs, White Sugar, Dalandan ","398","Cash"
"Jul 13, 2025","7:50 pm","Ivoryway ice","135","Cash"
"Jul 12, 2025","5:37 pm","R&BTubeIce_8packs","180","Cash"
"Jul 11, 2025","6:17 pm","Lalamove Fee Cookies","140","Cash"
"Jul 11, 2025","6:15 pm","Ivoryway Ice","225","Cash"
"Jul 11, 2025","6:15 pm","Fruitas Coconut Water","170","Cash"
"Jul 11, 2025","6:14 pm","Watsons Gloves","203","Cash"
"Jul 11, 2025","2:38 pm","Food Alley 12pcs egg","180","Cash"
"Jul 09, 2025","7:18 pm","M.D.R Consumer Goods Trading Dairy. 60L, White sugar 5kg","4900","Non-Cash"
"Jul 09, 2025","7:17 pm","Ivoryway Ice","157.5","Cash"
"Jul 09, 2025","3:01 pm","Grab Rider Tip","60","Cash"
"Jul 08, 2025","3:31 pm","Arlenes dairyhouse whipped cream, dairy milk, bunge","3468","Non-Cash"
"Jul 08, 2025","3:31 pm","Arlene's Dairyhouse mascarpone","1710","Non-Cash"
"Jul 08, 2025","3:27 pm","Southeast Asia Retail INC. customer tissue , ladyfingers","1398.70","Non-Cash"
"Jul 08, 2025","3:24 pm","Ivoryway ice ","135","Cash"
"Jul 08, 2025","10:56 am","Egg (food alley)","180","Cash"
"Jul 07, 2025","7:01 pm","NBS_CorrectionTape","65","Cash"
"Jul 07, 2025","6:46 pm","Fruitas coconut water","160","Cash"
"Jul 07, 2025","6:45 pm","Sm White Sugar, Condensed milk, Whipped Cream, Everwhip","1629.50","Cash"
"Jul 07, 2025","6:02 pm","Irish Luck INC. 16oz Cups, Strawless lids","4536","Non-Cash"
"Jul 07, 2025","6:01 pm","Lalamove fee - cookies","120","Cash"
"Jul 07, 2025","3:26 pm","Ivoryway Ice","135","Cash"
"Jul 06, 2025","9:56 pm","Delivery_S&R_Whppingcream4L","1843","Non-Cash"
"Jul 06, 2025","5:28 pm","R&BTubeIce_","135","Cash"
"Jul 05, 2025","9:13 pm","ADHTape_NBS","84","Cash"
"Jul 05, 2025","9:12 pm","Ice","337.5","Cash"
"Jul 04, 2025","5:19 pm","Allegro Beverage Corp. Oatmilk 60L","6600","Non-Cash"
"Jul 04, 2025","5:17 pm","Storm of Blessing Marketing Thermal Paper","900","Non-Cash"
"Jul 04, 2025","5:16 pm","Boduo Raw Milktea Hub Customer Tissue","414.40","Non-Cash"
"Jul 04, 2025","2:41 pm","Tube ice","157.5","Cash"
"Jul 04, 2025","10:42 am","Arlene's Dairyhouse Whipping Cream, Mascarpone","4418","Non-Cash"
"Jul 04, 2025","10:41 am","Willard's Enterprises Dairy milk 48L, Whipping Cream 4L","6487.04","Non-Cash"
"Jul 03, 2025","7:48 pm","Dishwashing soap ","173","Cash"
"Jul 03, 2025","7:47 pm","Grocery_Supermarket_Dalandan4, Warabisccontainer","612","Cash"
"Jul 03, 2025","7:42 pm","Fruitas_ CoconutWater1000ml","160","Cash"
