"","Category","Item","Option","Price","Cost","Modifier","Unavailable Online Store","Description Online Store","VAT Exempt"
"85","06 SPECIALTY MATCHA","Rocky's Matcha - Okumidori","Cold Whisked","600","","1","false","","false"
"86","06 SPECIALTY MATCHA","Rocky's Matcha - Kogacha Blend","Usucha","580","","1","false","","false"
"87","06 SPECIALTY MATCHA","Rocky's Matcha - Kogacha Blend","Classic Latte","620","","1","false","","false"
"88","06 SPECIALTY MATCHA","Rocky's Matcha - Kogacha Blend","Cold Whisked","630","","1","false","","false"
"89","06 SPECIALTY MATCHA","Horii Shichimeien - Uji Mukashi","Usucha","305","","1","false","","false"
"90","06 SPECIALTY MATCHA","Horii Shichimeien - Uji Mukashi","Classic Latte","355","","1","false","","false"
"91","06 SPECIALTY MATCHA","Horii Shichimeien - Uji Mukashi","Cold Whisked","365","","1","false","","false"
"92","06 SPECIALTY MATCHA","Horii Shichimeien - Agata no Mukashi","Usucha","330","","1","false","","false"
"93","06 SPECIALTY MATCHA","Horii Shichimeien - Agata no Mukashi","Classic Latte","380","","1","false","","false"
"94","06 SPECIALTY MATCHA","Horii Shichimeien - Agata no Mukashi","Cold Whisked","390","","1","false","","false"
"95","06 SPECIALTY MATCHA","Nakamura Tokichi - Fuji No Shiro","Usucha","250","","1","false","","false"
"96","06 SPECIALTY MATCHA","Nakamura Tokichi - Fuji No Shiro","Classic Latte","300","","1","false","","false"
"97","06 SPECIALTY MATCHA","Nakamura Tokichi - Fuji No Shiro","Cold Whisked","310","","1","false","","false"
"98","06 SPECIALTY MATCHA","Nakamura Tokichi - Seikan No Shiro","Usucha","305","","1","false","","false"
"99","06 SPECIALTY MATCHA","Nakamura Tokichi - Seikan No Shiro","Classic Latte","355","","1","false","","false"
"100","06 SPECIALTY MATCHA","Nakamura Tokichi - Seikan No Shiro","Cold Whisked","365","","1","false","","false"
"101","06 SPECIALTY MATCHA","Kanbayashi Shunsho - Biwa No Shiro","Usucha","225","","1","false","","false"
"102","06 SPECIALTY MATCHA","Kanbayashi Shunsho - Biwa No Shiro","Classic Latte","275","","1","false","","false"
"103","06 SPECIALTY MATCHA","Kanbayashi Shunsho - Biwa No Shiro","Cold Whisked","285","","1","false","","false"
"104","07 ADD-ONS","MATCHA STRENGTH UPGRADE","LEVEL 2","50","","","false","","false"
"105","07 ADD-ONS","MATCHA STRENGTH UPGRADE","LEVEL 3","90","","","false","","false"
"106","07 ADD-ONS","OAT MILK","","50","","","false","","false"
"107","07 ADD-ONS","COCONUT MILK","","50","","","false","","false"
"108","07 ADD-ONS","ICE CREAM SCOOP","","100","","","false","","false"
"109","07 ADD-ONS","LESS ICE","","0","","","false","","false"
"110","07 ADD-ONS","SEASALT CREAM","","50","","","false","","false"
"111","07 ADD-ONS","ESPRESSO SHOT","","50","31.5","","false","","false"
"112","07 ADD-ONS","PAPER BAG","PAPER BAG S","0","7","","false","","false"
"113","07 ADD-ONS","PAPER BAG","PAPER BAG M","0","8","","false","","false"
"114","08 DESSERTS","WARABI MOCHI","MATCHA BOX (BIG - 4x6)","350","","","false","","false"
"115","08 DESSERTS","WARABI MOCHI","KINAKO BOX  (BIG - 4x6)","290","","","false","","false"
"116","08 DESSERTS","WARABI MOCHI","MATCHA-KINAKO BOX  (BIG - 4x6)","320","","","false","","false"
"117","08 DESSERTS","WARABI MOCHI","MATCHA BOX (SMALL - 4x4)","270","","","false","","false"
"118","08 DESSERTS","WARABI MOCHI","KINAKO BOX  (SMALL - 4x4)","270","","","false","","false"
"119","08 DESSERTS","WARABI MOCHI","B1T1 BOX  (SMALL - 4x4)","270","","","false","","false"
"120","08 DESSERTS","WARABI MOCHI","MATCHA CUP","120","","","false","","false"
"121","08 DESSERTS","WARABI MOCHI","KINAKO CUP","120","","","false","","false"
"122","08 DESSERTS","PURIN","","120","","","false","","false"
"123","08 DESSERTS","BANOFFEE","180ML CUP","190","","","false","","false"
"124","08 DESSERTS","BANOFFEE","450ML CONTAINER","420","","","false","","false"
"125","08 DESSERTS","ICE CREAM","MATCHA LVL 1","140","","2","false","","false"
"126","08 DESSERTS","ICE CREAM","MATCHA LVL 2","160","","2","false","","false"
"127","08 DESSERTS","ICE CREAM","HOJICHA","150","","2","false","","false"
"128","08 DESSERTS","MATCHA AFFOGATO","","220","","","false","","false"
"129","08 DESSERTS","ADD ON - UPGRADE MATCHA ICE CREAM","LEVEL 2","20","","","false","","false"
"130","08 DESSERTS","ADD ON - UPGRADE MATCHA ICE CREAM","LEVEL 3","60","","","false","","false"
"131","08 DESSERTS","ADD ON - WARABI MOCHI","MATCHA","40","","","false","","false"
"132","08 DESSERTS","ADD ON - WARABI MOCHI","KINAKO","40","","","false","","false"
"133","08 DESSERTS","BASQUE BURNT CHEESECAKE","MATCHA","350","","","false","","false"
"134","08 DESSERTS","COOKIE","MATCHA BOMB","180","","","false","","false"
"135","08 DESSERTS","COOKIE","MATCHA OREO","180","","","false","","false"
"136","08 DESSERTS","COOKIE","MATCHA WHITE CHOCOLATE","180","","","false","","false"
"137","08 DESSERTS","COOKIE","MATCHA DARK CHOCOLATE","180","","","false","","false"
"138","08 DESSERTS","COOKIE","MATCHA CHIP","180","","","false","","false"
"139","08 DESSERTS","COOKIE","HOJICHA BOMB","180","","","false","","false"
"140","08 DESSERTS","COOKIE","SMORES","180","","","false","","false"
"141","08 DESSERTS","COOKIE","UBE MATCHA","180","","","false","","false"
"142","08 DESSERTS","COOKIE","BISCOFF","180","","","false","","false"
"143","08 DESSERTS","ICE CREAM","MATCHA LVL 3","200","","2","false","","false"
"144","08 DESSERTS","ICE CREAM","HOKKAIDO MILK","130","","2","false","","false"
"145","08 DESSERTS","MATCHA MONTBLANC","","290","","","false","","false"
"146","08 DESSERTS","Discount: 3 Cookies","","-25","","","false","","false"
"147","08 DESSERTS","MATCHA TIRAMISU","180ML BOX","240","","","false","","false"
"148","08 DESSERTS","MATCHA TIRAMISU","450ML CONTAINER","450","","","false","","false"
"149","08 DESSERTS","MATCHA TIRAMISU","Small Box","360","","","false","","false"
"150","08 DESSERTS","MOCHI DONUT","1 PC","95","","","false","","false"
"151","08 DESSERTS","MOCHI DONUT","HALF DOZEN","540","","","false","","false"
"152","09 TOOLS","CHASEN (BAMBOO WHISK)","","650","","","false","","false"
"153","09 TOOLS","KATAKUCHI (TEA BOWL WITH SPOUT)","","1350","","","false","","false"
"154","09 TOOLS","CHAWAN (TEA BOWL)","","1250","","","false","","false"
"155","09 TOOLS","MANILA MATCHA FEST STICKER","","110","","","false","","false"
"156","09 TOOLS","MATCHANESE STICKER","","150","","","false","","false"
"157","10 MATCHA POWDER","OKUMIDORI","","850","","","false","","false"
"158","10 MATCHA POWDER","GOKOU","","1250","","","false","","false"
"159","10 MATCHA POWDER","ASAHI","","1350","","","false","","false"
"160","11 SECRET MENU","HONEY CINNAMON MATCHA","","230","","","false","","false"
